GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ask-game,com.app.service.impl.generic,AbstractQuestCacheService,0,32,0,2,0,11,0,4,0,3
ask-game,com.app.model.difficulty_level,DifficultyLevel,0,21,0,0,0,4,0,1,0,1
ask-game,com.app.dto,AnswersDto,0,9,0,0,0,1,0,1,0,1
ask-game,com.app.dto,PlayerDto,0,9,0,0,0,1,0,1,0,1
ask-game,com.app.dto,QuestDto,0,18,0,0,0,1,0,1,0,1
ask-game,com.app.model.quest,QuestData,0,191,1,5,0,49,1,13,0,11
ask-game,com.app.converter.impl,FromQuestWithAnswerToQuestDataImpl,0,124,0,0,0,29,0,14,0,14
ask-game,com.app.converter.impl,FromPlayerWithStatisticToPlayerDataImpl,0,56,0,0,0,13,0,6,0,6
ask-game,com.app.repository.impl.generic.impl,AbstractCrudRepository,9,348,1,7,3,67,1,26,0,23
ask-game,com.app.service.impl,GameServiceImpl,0,40,0,2,0,11,0,3,0,2
ask-game,com.app.service.impl,PlayerServiceImpl,0,80,0,8,0,19,0,10,0,6
ask-game,com.app.service.impl,QuestDifficultyLevelCacheServiceImpl,0,9,0,0,0,4,0,2,0,2
ask-game,com.app.service.impl,QuestServiceImpl,0,162,0,10,0,41,0,15,0,10
ask-game,com.app.repository.impl,StatisticRepositoryImpl,0,49,0,0,0,15,0,5,0,5
ask-game,com.app.repository.impl,AnswerRepositoryImpl,0,49,0,0,0,15,0,5,0,5
ask-game,com.app.repository.impl,QuestWithAnswerRepositoryImpl,0,60,0,0,0,19,0,6,0,6
ask-game,com.app.repository.impl,PlayersWithStatisticsRepositoryImpl,0,79,0,0,0,23,0,8,0,8
ask-game,com.app.repository.impl,PlayerRepositoryImpl,0,54,0,0,0,11,0,5,0,5
ask-game,com.app.repository.impl,QuestRepositoryImpl,0,4,0,0,0,2,0,1,0,1
ask-game,com.app.model.player,PlayerData,0,21,0,0,0,6,0,2,0,2
